Year,USNRank,OrgRank,Ranking_Agency_USN,InstituteName,Master_col,State,PublicPrivate,OverAllScores,OverallScore,PeerAssessmentScore,GraduationRetentionRank,AverageFirstYearRetentionRate,PredictedGraduationRate,ActualGraduationRate,OverUnderperformance,PellGradrate,SocialMobilityRank,FacultyResourcesRank,PercentofClassesUnder20,PercentofClassesof50orMoreStudents,StudentFacultyRatio,Student_Faculty_Ratio,SelectivityRank,SATACT25thPercentile,SATACT75thPercentile,FirstYearStudentsTop10HSclass,AcceptanceRate,FinancialResourcesRank,AverageAlumniGivingRate
2020,166,166,USNews,University of Hawaii--Manoa,University of Hawai’i at M?noa,,public,41,41,2.8,226,78%,62%,59%,-3,56%,134,147,52%,12%,10,10 to 1,211,1055,1240,25%,83%,58,5%
2020,185,185,USNews,University of Houston,University of Houston,,public,39,39,2.9,230,85%,59%,59%,,56%,27,328,25%,24%,22,22 to 1,152,1130,1310,32%,62%,254,12%
2020,179,179,USNews,University of Idaho,University of Idaho,,public,40,40,2.8,230,80%,57%,59%,2,53%,105,110,55%,9%,15,15 to 1,265,1010,1220,18%,77%,132,9%
2020,132,132,USNews,University of Illinois--Chicago,University of Illinois Chicago,,public,46,46,3,219,80%,54%,59%,5,57%,14,246,35%,20%,18,18 to 1,234,1020,1220,28%,76%,38,2%
2020,48,48,USNews,University of Illinois--Urbana-Champaign,University of Illinois at Urbana-Champaign,,public,64,64,3.9,48,93%,79%,84%,5,81%,186,110,38%,20%,20,20 to 1,70,26,32,48%,62%,58,7%
2020,228,228,USNews,University of Indianapolis,University of Indianapolis,,private,33,33,2.3,247,75%,54%,60%,6,50%,176,227,56%,1%,13,13 to 1,307,990,1180,18%,81%,265,12%
2020,84,84,USNews,University of Iowa,University of Iowa,,public,54,54,3.5,122,86%,69%,73%,4,64%,335,69,51%,14%,15,15 to 1,125,23,28,30%,83%,83,8%
2020,130,130,USNews,University of Kansas,University of Kansas,,public,47,47,3.4,192,82%,69%,65%,-4,50%,377,120,49%,13%,17,17 to 1,122,23,29,28%,92%,93,13%
2020,132,132,USNews,University of Kentucky,University of Kentucky,,public,46,46,3.2,182,83%,70%,66%,-4,53%,345,169,37%,15%,16,16 to 1,125,23,29,31%,94%,65,11%
2020,132,132,USNews,University of La Verne ,University of La Verne,CA,private,46,46,2,161,84%,50%,69%,19,69%,4,120,65%,0.20%,12,12 to 1,265,1020,1205,20%,51%,117,5%
2020,293,293-381,USNews,University of Louisiana--Lafayette,University of Louisiana at Lafayette,,public,,,2.2,,75%,55%,45%,,35%,254,,35%,9%,,,,21,28,20%,56%,,5%
2020,293,293-381,USNews,University of Louisiana--Monroe,University of Louisiana at Monroe,,public,,,2,,73%,52%,43%,,34%,147,,44%,12%,,,,20,25,20%,72%,,3%
2020,192,192,USNews,University of Louisville ,University of Louisville,KY,public,38,38,2.8,247,80%,64%,57%,-7,47%,165,182,40%,9%,14,14 to 1,198,22,29,24%,73%,69,9%
2020,202,202,USNews,University of Maine,University of Maine,,public,36,36,2.8,230,76%,61%,60%,-1,51%,186,280,39%,16%,15,15 to 1,245,1050,1250,18%,92%,148,7%
2020,293,293-381,USNews,University of Mary ,University of Mary,ND,private,,,1.8,,79%,60%,53%,,48%,348,,36%,2%,,,,20,26,,88%,,
2020,272,272,USNews,University of Memphis,University of Memphis,,public,28,28,2.5,321,74%,52%,48%,-4,40%,138,210,46%,9%,15,15 to 1,234,19,26,14%,84%,254,6%
2020,57,57,USNews,University of Miami ,University of Miami,FL,private,61,61,3.5,64,92%,88%,82%,-6,78%,270,69,50%,9%,12,12 to 1,51,1250,1430,55%,32%,28,12%
2020,25,25,USNews,University of Michigan--Ann Arbor,University of Michigan--Ann Arbor,,public,75,75,4.5,23,97%,90%,92%,2,85%,291,48,57%,18%,15,15 to 1,40,1330,1510,79%,23%,40,17%
2020,293,293-381,USNews,University of Michigan--Flint,University of Michigan--Flint,,public,,,2.3,,72%,53%,46%,,39%,214,,53%,2%,,,,980,1200,15%,66%,,1%
2020,70,70,USNews,University of Minnesota--Twin Cities,University of Minnesota--Twin Cities,,public,58,58,3.7,82,93%,78%,80%,2,72%,251,256,38%,20%,17,17 to 1,65,26,31,50%,52%,45,8%
2020,162,162,USNews,University of Mississippi,University of Mississippi,,public,42,42,3,192,86%,64%,64%,,48%,354,194,51%,14%,17,17 to 1,163,21,29,25%,88%,123,10%
2020,254,254,USNews,University of Montana,University of Montana,,public,30,30,2.7,300,70%,58%,50%,-8,43%,165,227,51%,9%,16,16 to 1,234,20,26,16%,88%,211,9%
2020,293,293-381,USNews,University of Nebraska--Omaha,University of Nebraska Omaha,,public,,,2.6,,77%,56%,49%,,40%,254,,44%,6%,,,,19,26,17%,82%,,5%
2020,293,293-381,USNews,University of Nevada--Las Vegas,"University of Nevada, Las Vegas",,public,,,2.6,,75%,52%,43%,,38%,115,,37%,14%,,,,19,24,22%,82%,,4%
2020,240,240,USNews,University of Nevada--Reno,"University of Nevada, Reno",,public,32,32,2.5,230,81%,59%,58%,-1,49%,241,335,37%,21%,19,19 to 1,198,21,26,27%,88%,148,7%
2020,246,246,USNews,University of New England ,University of New England,ME,private,31,31,2.2,209,78%,68%,64%,-4,56%,234,194,56%,6%,13,13 to 1,259,1050,1240,,80%,244,7%
2020,125,125,USNews,University of New Hampshire,University of New Hampshire,,public,48,48,2.9,95,86%,66%,77%,11,73%,204,246,41%,12%,19,19 to 1,190,1090,1280,20%,77%,164,7%
2020,218,218,USNews,University of New Mexico,University of New Mexico (Main campus),,public,34,34,2.8,292,78%,57%,49%,-8,45%,62,169,60%,9%,17,17 to 1,336,19,25,,52%,49,
2020,293,293-381,USNews,University of New Orleans,University of New Orleans,,public,,,2.2,,65%,53%,37%,,31%,214,,45%,9%,,,,20,25,17%,57%,,4%
2020,185,185,USNews,University of North Carolina--Wilmington,University of North Carolina Wilmington,,public,39,39,2.6,127,85%,67%,73%,6,69%,234,290,32%,8%,17,17 to 1,143,23,27,24%,61%,350,5%
2020,263,263,USNews,University of North Dakota,University of North Dakota,,public,29,29,2.6,247,81%,66%,55%,-11,42%,370,309,38%,11%,18,18 to 1,190,21,27,18%,82%,123,7%
2020,281,281,USNews,University of North Florida,University of North Florida,,public,27,27,2.4,230,81%,61%,59%,-2,55%,115,362,26%,12%,19,19 to 1,184,1120,1280,16%,61%,339,4%
2020,281,281,USNews,University of North Texas,University of North Texas,,public,27,27,2.6,261,79%,55%,55%,,50%,96,362,25%,22%,24,24 to 1,215,1060,1260,19%,71%,376,4%
2020,293,293-381,USNews,University of Northern Colorado,University of Northern Colorado,,public,,,2.4,,71%,54%,47%,,40%,204,,39%,10%,,,,990,1190,12%,91%,,3%
2020,15,15,USNews,University of Notre Dame ,University of Notre Dame,IN,private,84,84,4.2,4,98%,98%,97%,-1,95%,322,14,62%,10%,10,10 to 1,11,33,35,89%,18%,27,42%
2020,132,132,USNews,University of Oklahoma,University of Oklahoma,,public,46,46,3.1,145,90%,68%,68%,,56%,328,160,45%,11%,18,18 to 1,122,23,29,32%,78%,174,9%
2020,104,104,USNews,University of Oregon,University of Oregon,,public,51,51,3.4,122,87%,65%,73%,8,68%,214,136,39%,20%,16,16 to 1,177,1080,1290,22%,83%,148,8%
2020,6,6,USNews,University of Pennsylvania,University of Pennsylvania,,private,93,93,4.6,4,98%,98%,95%,-3,92%,241,5,71%,8%,6,6 to 1,7,1440,1560,96%,8%,14,38%
2020,57,57,USNews,University of Pittsburgh,University of Pittsburgh-Pittsburgh campus,,public,61,61,3.6,64,93%,80%,83%,3,76%,335,120,45%,18%,14,14 to 1,59,1270,1430,55%,59%,40,7%
2020,166,166,USNews,University of Rhode Island,University of Rhode Island,,public,41,41,2.9,176,84%,62%,67%,5,61%,204,147,45%,10%,16,16 to 1,301,1090,1260,18%,71%,211,5%
2020,29,29,USNews,University of Rochester ,University of Rochester,NY,private,72,72,3.5,40,96%,90%,86%,-4,81%,159,19,74%,9%,10,10 to 1,33,1320,1500,75%,29%,23,23%
2020,91,91,USNews,University of San Diego,University of San Diego,,private,53,53,3,88,89%,78%,80%,2,75%,254,85,42%,0.10%,13,13 to 1,95,1190,1360,33%,53%,110,12%
2020,97,97,USNews,University of San Francisco,University of San Francisco,,private,52,52,3,122,84%,66%,75%,9,79%,96,95,44%,2%,13,13 to 1,125,1130,1330,38%,65%,132,7%
2020,293,293-381,USNews,University of South Alabama,University of South Alabama,,public,,,2.1,,75%,59%,43%,,33%,224,,49%,7%,,,,21,27,,79%,,
2020,263,263,USNews,University of South Dakota,University of South Dakota,,public,29,29,2.6,256,76%,60%,58%,-2,47%,315,328,43%,8%,16,16 to 1,234,20,25,13%,86%,231,4%
2020,104,104,USNews,University of South Florida,University of South Florida (Tampa),,public,51,51,2.8,127,90%,61%,73%,12,72%,11,256,45%,12%,22,22 to 1,111,1170,1330,34%,43%,211,12%
2020,22,22,USNews,University of Southern California,University of Southern California,,private,78,78,3.9,23,96%,92%,92%,,91%,147,39,59%,13%,9,9 to 1,30,1350,1530,90%,13%,22,41%
2020,202,202,USNews,University of St. Francis ,University of St. Francis,IL,private,36,36,1.9,195,79%,52%,62%,10,54%,90,169,64%,0.30%,12,12 to 1,265,1030,1190,12%,47%,231,8%
2020,147,147,USNews,University of St. Joseph ,University of St. Joseph ,CT,private,44,44,2.2,209,76%,47%,63%,16,52%,96,48,74%,0%,8,8 to 1,265,1030,1210,25%,72%,148,13%
2020,139,139,USNews,University of St. Thomas ,University of St. Thomas,MN,private,45,45,2.5,98,88%,73%,77%,4,71%,270,147,40%,2%,14,14 to 1,125,24,29,21%,82%,174,12%
2020,104,104,USNews,University of Tennessee,The University of Tennessee-Knoxville,,public,51,51,3.3,137,86%,76%,73%,-3,64%,138,169,30%,15%,17,17 to 1,83,25,31,36%,78%,110,11%
2020,293,293-381,USNews,University of Tennessee--Chattanooga,University of Tennessee at Chattanooga,,public,,,2.5,,73%,58%,48%,,44%,214,,40%,10%,,,,21,27,,76%,,4%
2020,293,293-381,USNews,University of Texas--Arlington,University of Texas at Arlington,,public,,,2.6,,71%,55%,49%,,48%,20,,34%,26%,,,,1060,1260,28%,80%,,1%
2020,48,48,USNews,University of Texas--Austin,University of Texas at Austin,,public,64,64,4.1,58,95%,84%,83%,-1,73%,134,182,38%,26%,19,19 to 1,33,1230,1480,85%,39%,76,10%
2020,147,147,USNews,University of Texas--Dallas,University of Texas at Dallas,,public,44,44,2.9,141,87%,68%,75%,7,74%,56,320,22%,25%,24,24 to 1,79,1220,1440,37%,81%,265,3%
2020,293,293-381,USNews,University of Texas--El Paso,University of Texas--El Paso,,public,,,2.5,,73%,40%,39%,,36%,80,,32%,16%,,,,940,1130,18%,100%,,3%
2020,293,293-381,USNews,University of Texas--Rio Grande Valley,University of Texas Rio Grande Valley,,public,,,2.2,,75%,36%,42%,,,17,,27%,14%,,,,17,22,22%,81%,,0.30%
2020,293,293-381,USNews,University of Texas--San Antonio,The University of Texas at San Antonio,,public,,,2.5,,72%,50%,40%,,39%,62,,16%,32%,,,,1040,1220,18%,79%,,6%
2020,293,293-381,USNews,University of Texas--Tyler,University of Texas at Tyler,,public,,,2.1,,62%,54%,45%,,41%,119,,38%,11%,,,,1080,1280,12%,78%,,0.40%
2020,293,293-381,USNews,University of the Cumberlands ,University of the Cumberlands,KY,private,,,1.8,,64%,46%,40%,,,17,,,,,,,19,25,11%,74%,,
2020,272,272,USNews,University of the Incarnate Word ,University of the Incarnate Word,TX,private,28,28,2,273,76%,46%,49%,3,45%,27,256,65%,2%,11,11 to 1,347,950,1140,16%,88%,254,4%
2020,125,125,USNews,University of the Pacific ,University of the Pacific,CA,private,48,48,2.6,154,84%,67%,68%,1,71%,39,85,50%,5%,13,13 to 1,139,1120,1350,33%,63%,55,6%
2020,293,293-381,USNews,University of Toledo ,University of Toledo,OH,public,,,2.4,,74%,55%,47%,,34%,297,,41%,14%,,,,20,26,20%,94%,,5%
2020,121,121,USNews,University of Tulsa ,University of Tulsa,OK,private,49,49,2.7,122,89%,87%,74%,-13,58%,376,36,60%,5%,11,11 to 1,57,25,32,65%,41%,83,19%
2020,104,104,USNews,University of Utah,University of Utah,,public,51,51,3.2,145,90%,65%,70%,5,62%,186,227,37%,19%,17,17 to 1,143,22,29,,67%,44,11%
2020,121,121,USNews,University of Vermont,University of Vermont,,public,49,49,3,107,86%,79%,76%,-3,72%,234,194,49%,13%,18,18 to 1,101,1180,1360,37%,68%,72,9%
2020,28,28,USNews,University of Virginia,University of Virginia (Main campus),,public,73,73,4.2,10,97%,98%,94%,-4,91%,328,39,55%,15%,15,15 to 1,23,1330,1500,90%,26%,47,20%
2020,62,62,USNews,University of Washington,University of Washington,,public,60,60,3.9,52,94%,88%,84%,-4,79%,176,346,29%,25%,19,19 to 1,65,1220,1460,58%,49%,28,12%
2020,293,293-381,USNews,University of West Georgia,University of West Georgia,,public,,,2.1,,72%,45%,42%,,39%,53,,35%,7%,,,,920,1080,,58%,,1%
2020,228,228,USNews,University of Wyoming,University of Wyoming,,public,33,33,2.7,247,77%,65%,57%,-8,45%,365,160,38%,11%,15,15 to 1,265,22,28,21%,96%,93,5%
2020,254,254,USNews,Utah State University,Utah State University,,public,30,30,2.6,307,72%,61%,49%,-12,63%,56,210,48%,13%,20,20 to 1,177,21,28,21%,89%,183,5%
2020,293,293-381,USNews,Valdosta State University ,Valdosta State University,GA,public,,,2.1,,69%,47%,42%,,35%,125,,54%,3%,,,,1000,1140,,63%,,1%
2020,153,153,USNews,Valparaiso University ,Valparaiso University,IN,private,43,43,2.8,150,83%,69%,71%,2,59%,254,194,49%,4%,11,11 to 1,163,1070,1270,29%,89%,200,14%
2020,15,15,USNews,Vanderbilt University ,Vanderbilt University,TN,private,84,84,4.3,19,97%,98%,94%,-4,90%,291,16,66%,7%,7,7 to 1,11,33,35,89%,10%,11,26%
2020,46,46,USNews,Villanova University ,Villanova University,PA,private,65,65,3.4,30,96%,85%,91%,6,94%,214,110,42%,2%,11,11 to 1,40,1300,1470,72%,29%,110,29%
2020,162,162,USNews,Virginia Commonwealth University,Virginia Commonwealth University,,public,42,42,2.9,182,85%,63%,67%,4,65%,45,300,37%,15%,18,18 to 1,211,1070,1260,17%,77%,148,5%
2020,74,74,USNews,Virginia Tech,Virginia Polytechnic Institute and State University,,public,57,57,3.7,52,93%,78%,84%,6,77%,322,227,27%,22%,14,14 to 1,101,1180,1390,38%,65%,123,12%
2020,27,27,USNews,Wake Forest University ,Wake Forest University,NC,private,74,74,3.6,33,94%,96%,89%,-7,85%,360,21,57%,1%,10,10 to 1,33,29,33,76%,29%,10,24%
2020,293,293-381,USNews,Washburn University ,Washburn University,KS,public,,,2.2,,71%,53%,36%,,24%,370,,49%,3%,,,,18,24,13%,100%,,9%
2020,166,166,USNews,Washington State University,Washington State University,,public,41,41,3.1,195,79%,60%,59%,-1,51%,176,256,33%,21%,16,16 to 1,215,1020,1210,38%,77%,148,12%
2020,19,19,USNews,Washington University in St. Louis,Washington University in St Louis,,private,81,81,4.1,10,97%,98%,95%,-3,91%,381,14,64%,12%,7,7 to 1,28,32,35,80%,15%,5,24%
2020,246,246,USNews,Wayne State University ,Wayne State University,MI,public,31,31,2.6,321,80%,55%,47%,-8,37%,125,110,50%,8%,16,16 to 1,279,1010,1210,18%,71%,117,5%
2020,228,228,USNews,West Virginia University,West Virginia University,,public,33,33,2.8,230,78%,59%,58%,-1,47%,315,346,35%,20%,18,18 to 1,204,21,27,23%,82%,200,10%
2020,293,293-381,USNews,Western Kentucky University,Western Kentucky University,,public,,,2.2,,72%,56%,53%,,40%,303,,49%,5%,,,,20,27,22%,97%,,7%
2020,246,246,USNews,Western Michigan University,Western Michigan University,,public,31,31,2.5,268,79%,55%,51%,-4,45%,78,182,38%,10%,16,16 to 1,301,990,1190,10%,81%,254,4%
2020,218,218,USNews,Western New England University ,Western New England University,MA,private,34,34,2,226,77%,60%,60%,,53%,234,48,57%,0.10%,13,13 to 1,215,1060,1250,19%,85%,174,4%
2020,293,293-381,USNews,Wichita State University ,Wichita State University,KS,public,,,2.4,,72%,58%,47%,,34%,303,,45%,11%,,,,20,26,19%,75%,,7%
2020,202,202,USNews,Widener University ,Widener University,PA,private,36,36,2.2,219,80%,54%,63%,9,58%,138,85,57%,2%,13,13 to 1,295,1020,1200,,69%,219,3%
2020,211,211,USNews,Wilkes University ,Wilkes University,PA,private,35,35,2,219,76%,56%,60%,4,51%,138,85,58%,4%,12,12 to 1,234,1050,1240,23%,75%,231,13%
2020,281,281,USNews,William Carey University ,William Carey University,MS,private,27,27,1.8,256,83%,51%,51%,,51%,49,120,77%,0%,15,15 to 1,245,21,29,27%,68%,375,5%
2020,293,293-381,USNews,William Woods University ,William Woods University,MO,private,,,1.8,,74%,56%,60%,,53%,165,,83%,0%,,,,19,25,6%,64%,,4%
2020,293,293-381,USNews,Wingate University ,Wingate University,NC,private,,,2,,72%,57%,51%,,45%,125,,41%,1%,,,,960,1170,15%,85%,,10%
2020,64,64,USNews,Worcester Polytechnic Inst. ,Worcester Polytechnic Institute,MA,private,59,59,3,36,96%,88%,87%,-1,88%,270,30,64%,11%,13,13 to 1,48,1300,1460,64%,42%,83,10%
2020,293,293-381,USNews,Wright State University ,Wright State University,OH,public,,,2.3,,65%,51%,39%,,26%,348,,,,,,,18,25,17%,95%,,
2020,3,3,USNews,Yale University ,Yale University,CT,private,94,94,4.8,1,99%,97%,97%,,94%,285,11,73%,9%,6,6 to 1,2,1450,1560,95%,6%,1,27%
2020,97,97,USNews,Yeshiva University ,Yeshiva University,NY,private,52,52,2.8,64,90%,84%,83%,-1,78%,285,95,60%,1%,7,7 to 1,139,22,30,,60%,93,16%
2021,170,170,USNews,Adelphi University ,Adelphi University,NY,private,52,52,2.3,153,81%,61%,73%,12,65%,80,155,48%,1%,11,11 to 1,269,1090,1270,28%,74%,173,7%
2021,298,298-389,USNews,Alliant International University ,Alliant International University,CA,proprietary,,,1.4,,67%,40%,16%,,,340,,73%,1%,,,,,,,,,
2021,76,76,USNews,American University ,American University,DC,private,64,64,3.3,87,89%,81%,79%,-2,78%,209,42,55%,2%,11,11 to 1,91,1210,1390,32%,36%,95,6%
2021,298,298-389,USNews,Andrews University ,Andrews University,MI,private,,,1.9,,86%,65%,59%,,47%,303,,68%,3%,,,,21,29,17%,67%,,4%
2021,103,103,USNews,Arizona State University--Tempe,Arizona State University (Tempe),,public,60,60,3.4,148,87%,64%,71%,7,63%,191,207,35%,18%,20,20 to 1,147,22,28,31%,86%,119,9%
2021,298,298-389,USNews,Arkansas State University,Arkansas State University,,public,,,2.2,,75%,50%,50%,,38%,209,,46%,6%,,,,21,27,23%,80%,,9%
2021,97,97,USNews,Auburn University ,Auburn University,AL,public,61,61,3.3,93,91%,73%,79%,6,68%,381,184,36%,16%,20,20 to 1,91,25,31,33%,81%,156,14%
2021,298,298-389,USNews,Augusta University ,Augusta University,GA,public,,,2.1,,73%,57%,40%,,37%,129,,,,,,,19,26,,76%,,3%
2021,298,298-389,USNews,Aurora University ,Aurora University,IL,private,,,1.9,,72%,46%,55%,,,161,,,,,,,970,1150,,81%,,
2021,227,227,USNews,Azusa Pacific University ,Azusa Pacific University,CA,private,46,46,2.2,161,84%,64%,67%,3,65%,71,269,57%,2%,11,11 to 1,273,1020,1240,,69%,232,
2021,258,258,USNews,Baker University ,Baker University,KS,private,43,43,1.8,231,76%,56%,64%,8,56%,191,93,73%,0.30%,11,11 to 1,221,20,25,21%,88%,286,7%
2021,284,284,USNews,Ball State University ,Ball State University,IN,public,41,41,2.6,201,79%,56%,62%,6,,191,361,,,16,16 to 1,376,,,,65%,286,
2021,298,298-389,USNews,Barry University ,Barry University,FL,private,,,2.1,,63%,42%,35%,,32%,106,,69%,0%,,,,930,1080,,51%,,1%
2021,76,76,USNews,Baylor University ,Baylor University,TX,private,64,64,3.3,98,89%,75%,78%,3,66%,328,48,53%,9%,13,13 to 1,76,26,32,44%,45%,100,14%
2021,206,206,USNews,Bellarmine University ,Bellarmine University,KY,private,48,48,2.2,187,78%,62%,66%,4,59%,154,123,54%,1%,12,12 to 1,182,22,28,,84%,232,11%
2021,160,160,USNews,Belmont University ,Belmont University,TN,private,53,53,2.7,143,83%,74%,72%,-2,63%,361,70,46%,0.10%,14,14 to 1,126,24,29,32%,84%,277,9%
2021,298,298-389,USNews,Benedictine University ,Benedictine University ,IL,private,,,2.2,,71%,55%,46%,,40%,71,,60%,0.20%,,,,19,25,13%,42%,,4%
2021,196,196,USNews,Bethel University ,Bethel University (MN),MN,private,49,49,2.1,120,85%,70%,73%,3,66%,174,198,60%,1%,11,11 to 1,179,21,27,24%,79%,265,7%
2021,88,88,USNews,Binghamton University--SUNY,SUNY Binghamton University,,public,62,62,3,73,91%,74%,81%,7,81%,98,123,48%,13%,19,19 to 1,59,1280,1440,55%,41%,222,6%
2021,187,187,USNews,Biola University ,Biola University,CA,private,50,50,2.1,120,85%,69%,74%,5,66%,98,237,49%,5%,14,14 to 1,141,1080,1310,45%,71%,218,7%
2021,298,298-389,USNews,Boise State University ,Boise State University,ID,public,,,2.7,,80%,56%,50%,,41%,265,,33%,11%,,,,1030,1230,15%,77%,,6%
2021,35,35,USNews,Boston College,Boston College,,private,75,75,3.8,21,95%,92%,94%,2,96%,259,42,49%,6%,11,11 to 1,41,1340,1500,82%,27%,64,23%
2021,42,42,USNews,Boston University,Boston University,,private,72,72,3.7,41,94%,84%,88%,4,90%,237,26,62%,12%,10,10 to 1,51,1340,1510,64%,19%,48,10%
2021,258,258,USNews,Bowling Green State University ,Bowling Green State University,OH,public,43,43,2.7,255,77%,55%,60%,5,46%,265,269,42%,9%,17,17 to 1,237,20,25,16%,72%,353,5%
2021,42,42,USNews,Brandeis University ,Brandeis University,MA,private,72,72,3.7,35,93%,87%,87%,,83%,191,53,58%,11%,10,10 to 1,46,1350,1520,56%,30%,48,19%
2021,80,80,USNews,Brigham Young Univ.--Provo ,Brigham Young University--Provo,UT,private,63,63,3.2,73,90%,83%,78%,-5,72%,318,155,46%,12%,20,20 to 1,59,26,31,56%,67%,184,12%
2021,14,14,USNews,Brown University ,Brown University,RI,private,88,88,4.5,4,98%,95%,96%,1,92%,203,17,69%,11%,6,6 to 1,16,1440,1570,91%,7%,24,30%
2021,9,9,USNews,California Institute of Technology,California Institute of Technology,,private,93,93,4.6,21,98%,97%,94%,-3,100%,340,8,69%,8%,3,3 to 1,1,1530,1560,99%,6%,3,27%
2021,196,196,USNews,California State University--Fresno,"California State University, Fresno",,public,49,49,2.6,239,81%,39%,56%,17,53%,26,369,18%,8%,23,23 to 1,352,940,1130,15%,58%,375,3%
2021,258,258,USNews,Campbell University ,Campbell University ,NC,private,43,43,2.2,280,74%,58%,55%,-3,48%,161,116,60%,4%,16,16 to 1,230,1030,1230,27%,78%,199,5%
2021,298,298-389,USNews,Cardinal Stritch University ,Cardinal Stritch University ,WI,private,,,1.9,,71%,48%,50%,,38%,251,,72%,0.40%,,,,18,23,22%,81%,,2%
2021,26,26,USNews,Carnegie Mellon University ,Carnegie Mellon University,PA,private,79,79,4.3,28,97%,92%,90%,-2,91%,303,20,66%,12%,7,7 to 1,16,1460,1560,88%,15%,33,15%
2021,298,298-389,USNews,Carson-Newman University ,Carson-Newman University,TN,private,,,2.1,,68%,54%,57%,,48%,68,,53%,0%,,,,19,29,,69%,,8%
2021,42,42,USNews,Case Western Reserve Univ. ,Case Western Reserve University,OH,private,72,72,3.7,62,93%,83%,84%,1,82%,203,48,50%,14%,11,11 to 1,32,1340,1510,70%,27%,37,18%
2021,249,249,USNews,Central Michigan University,Central Michigan University,,public,44,44,2.4,231,76%,55%,61%,6,52%,144,221,35%,6%,19,19 to 1,298,990,1200,18%,70%,319,7%
2021,124,124,USNews,Chapman University ,Chapman University,CA,private,57,57,2.6,87,90%,74%,81%,7,77%,224,155,44%,4%,13,13 to 1,91,1190,1380,36%,56%,119,8%
2021,187,187,USNews,Chatham University ,Chatham University,PA,private,50,50,2.3,201,81%,62%,70%,8,62%,29,221,61%,1%,10,10 to 1,196,1050,1270,24%,62%,142,12%
2021,298,298-389,USNews,Clark Atlanta University,Clark Atlanta University,,private,,,2.3,,70%,40%,44%,,42%,68,,37%,5%,,,,940,1080,10%,55%,,10%
2021,103,103,USNews,Clark University ,Clark University,MA,private,60,60,2.8,93,87%,75%,79%,4,72%,135,56,54%,5%,9,9 to 1,110,1180,1370,27%,53%,142,14%
2021,227,227,USNews,Clarke University ,Clarke University,IA,private,46,46,2.1,222,72%,55%,63%,8,65%,54,70,77%,0.40%,8,8 to 1,326,18,23,17%,94%,277,14%
2021,124,124,USNews,Clarkson University ,Clarkson University,NY,private,57,57,2.7,104,89%,72%,81%,9,77%,98,139,53%,17%,14,14 to 1,116,1160,1350,37%,75%,156,15%
2021,74,74,USNews,Clemson University ,Clemson University,SC,public,65,65,3.4,64,93%,81%,84%,3,72%,361,116,53%,14%,16,16 to 1,65,1230,1400,56%,51%,142,23%
2021,298,298-389,USNews,Cleveland State University,Cleveland State University,,public,,,2.3,,72%,48%,46%,,37%,119,,36%,9%,,,,18,24,14%,94%,,3%
2021,258,258,USNews,College of St. Scholastica ,College of St. Scholastica ,MN,private,43,43,1.9,161,81%,63%,69%,6,66%,135,303,54%,2%,14,14 to 1,261,22,26,23%,75%,286,5%
2021,88,88,USNews,Colorado School of Mines,Colorado School of Mines,,public,62,62,3.5,81,92%,81%,83%,2,78%,303,285,29%,21%,15,15 to 1,59,1260,1460,50%,53%,100,9%
2021,153,153,USNews,Colorado State University,"Colorado State University, Fort Collins",,public,54,54,3.1,148,85%,66%,70%,4,62%,259,329,29%,24%,14,14 to 1,167,1070,1290,21%,81%,119,10%
2021,298,298-389,USNews,Colorado Technical University,Colorado Technical University,,proprietary,,,2.2,,43%,33%,19%,,,251,,,,,,,,,,,,
2021,3,3,USNews,Columbia University ,Columbia University,NY,private,97,97,4.7,4,99%,93%,96%,3,94%,119,2,82%,9%,6,6 to 1,5,1450,1570,96%,5%,10,31%
2021,258,258,USNews,Concordia University Wisconsin,Concordia University Wisconsin,,private,43,43,2.1,231,78%,59%,64%,5,56%,243,184,59%,2%,12,12 to 1,164,21,26,32%,64%,319,3%
2021,18,18,USNews,Cornell University ,Cornell University,NY,private,86,86,4.6,10,97%,93%,95%,2,92%,251,26,56%,18%,9,9 to 1,23,1400,1560,83%,11%,18,24%
2021,112,112,USNews,Creighton University ,Creighton University,NE,private,59,59,3,93,89%,77%,78%,1,75%,291,139,46%,5%,11,11 to 1,98,23,29,35%,74%,100,14%
2021,176,176,USNews,CUNY--City College,CUNY--City College,,public,51,51,2.9,262,86%,48%,51%,3,44%,17,285,33%,3%,16,16 to 1,342,950,1190,,38%,142,9%
2021,298,298-389,USNews,Daemen College ,Daemen University,NY,private,,,1.7,,78%,53%,62%,,46%,135,,66%,0.30%,,,,1040,1240,22%,62%,,5%
2021,272,272,USNews,Dallas Baptist University,Dallas Baptist University,,private,42,42,2.1,255,74%,61%,58%,-3,51%,340,139,66%,3%,13,13 to 1,203,21,26,24%,90%,245,1%
2021,13,13,USNews,Dartmouth College ,Dartmouth College,NH,private,91,91,4.4,4,97%,95%,95%,,93%,284,8,64%,7%,7,7 to 1,12,1440,1560,95%,8%,16,44%
2021,284,284,USNews,Delaware State University,Delaware State University,,public,41,41,2.3,353,72%,41%,42%,1,42%,59,53,46%,3%,16,16 to 1,374,820,1020,11%,53%,184,11%
2021,124,124,USNews,DePaul University ,DePaul University,IL,private,57,57,3,131,85%,62%,74%,12,68%,113,184,39%,1%,16,16 to 1,182,1070,1290,,68%,232,6%
2021,124,124,USNews,Drake University ,Drake University,IA,private,57,57,2.8,98,87%,76%,82%,6,68%,366,123,49%,8%,10,10 to 1,94,24,31,41%,68%,142,10%
