Year,USNRank,OrgRank,Ranking_Agency_USN,InstituteName,Master_col,State,PublicPrivate,OverAllScores,OverallScore,PeerAssessmentScore,GraduationRetentionRank,AverageFirstYearRetentionRate,PredictedGraduationRate,ActualGraduationRate,OverUnderperformance,PellGradrate,SocialMobilityRank,FacultyResourcesRank,PercentofClassesUnder20,PercentofClassesof50orMoreStudents,StudentFacultyRatio,Student_Faculty_Ratio,SelectivityRank,SATACT25thPercentile,SATACT75thPercentile,FirstYearStudentsTop10HSclass,AcceptanceRate,FinancialResourcesRank,AverageAlumniGivingRate
2022,127,127,USNews,Seton Hall University ,Seton Hall University,NJ,private,57,57,3,147,84%,71%,72%,1,62%,169,206,46%,2%,14,14 to 1,124,1150,1310,33%,78%,135,10%
2022,263,263,USNews,Shenandoah University ,Shenandoah University,VA,private,44,44,2,214,82%,60%,61%,1,58%,192,128,62%,8%,10,10 to 1,273,990,1220,15%,74%,185,4%
2022,136,136,USNews,Simmons University ,Simmons University,MA,private,56,56,2.4,106,83%,70%,79%,9,74%,82,255,56%,0.20%,9,9 to 1,238,1060,1250,29%,83%,89,11%
2022,288,288,USNews,South Dakota State University,South Dakota State University,,public,42,42,2.6,253,78%,65%,59%,-6,47%,369,355,30%,19%,17,17 to 1,207,20,26,18%,89%,223,7%
2022,299,299-391,USNews,Southern Illinois University Edwardsville,Southern Illinois University Edwardsville,,public,,,2.2,,76%,61%,52%,,36%,312,,51%,7%,,,,21,27,21%,85%,,3%
2022,263,263,USNews,Southern Illinois University--Carbondale,Southern Illinois University--Carbondale,,public,44,44,2.4,339,74%,54%,47%,-7,35%,202,107,67%,3%,11,11 to 1,249,970,1345,15%,92%,49,4%
2022,68,68,USNews,Southern Methodist University ,Southern Methodist University,TX,private,66,66,3.2,84,91%,85%,81%,-4,76%,372,37,55%,11%,11,11 to 1,53,29,33,47%,53%,64,11%
2022,299,299-391,USNews,Spalding University ,Spalding University,KY,private,,,1.8,,70%,49%,41%,,,391,,,,,,,17,22,,79%,,
2022,227,227,USNews,St. Catherine University ,St. Catherine University,MN,private,47,47,2.1,209,80%,58%,69%,11,64%,41,189,64%,2%,11,11 to 1,249,19,25,25%,77%,248,8%
2022,187,187,USNews,St. John Fisher College ,St. John Fisher College,NY,private,51,51,2.2,121,88%,64%,72%,8,69%,72,231,28%,3%,12,12 to 1,207,1060,1240,22%,68%,234,5%
2022,172,172,USNews,St. John's University ,St. John's University (NY),NY,private,53,53,2.9,204,83%,59%,64%,5,61%,41,189,37%,2%,16,16 to 1,185,1080,1300,20%,75%,257,4%
2022,6,6,USNews,Stanford University ,Stanford University,CA,private,95,95,4.9,17,96%,93%,95%,2,95%,249,12,69%,12%,5,5 to 1,8,1420,1570,96%,5%,5,23%
2022,299,299-391,USNews,Stephen F. Austin State University ,Stephen F. Austin State University,TX,public,,,2.4,,71%,53%,48%,,,120,,,,,,,990,1180,,68%,,
